date,home_1_median,home_1_count,home_1_median_hoa,hoa_1_bd_median,home_1_count_hoa,home_1_both_median,home_1_count+home_1_count_hoa,home_2_median,home_2_count,home_2_median_hoa,hoa_2_bd_median,home_2_count_hoa,home_2_both_median,home_2_count+home_2_count_hoa,home_3_median,home_3_count,home_3_median_hoa,hoa_3_bd_median,home_3_count_hoa,home_3_both_median,home_3_count+home_3_count_hoa,home_4_median,home_4_count,home_4_median_hoa,hoa_4_bd_median,home_4_count_hoa,home_4_both_median,home_4_count+home_4_count_hoa,home_5_median,home_5_count,home_5_median_hoa,hoa_5_bd_median,home_5_count_hoa,home_5_both_median,home_5_count+home_5_count_hoa,home_6_median,home_6_count,home_6_median_hoa,hoa_6_bd_median,home_6_count_hoa,home_6_both_median,home_6_count+home_6_count_hoa,home_1_median_condo,home_1_count_condo,home_1_median_hoa_condo,hoa_1_bd_median_condo,home_1_count_hoa_condo,home_1_both_median_condo,home_1_count_condo+home_1_count_hoa_condo,home_2_median_condo,home_2_count_condo,home_2_median_hoa_condo,hoa_2_bd_median_condo,home_2_count_hoa_condo,home_2_both_median_condo,home_2_count_condo+home_2_count_hoa_condo,home_3_median_condo,home_3_count_condo,home_3_median_hoa_condo,hoa_3_bd_median_condo,home_3_count_hoa_condo,home_3_both_median_condo,home_3_count_condo+home_3_count_hoa_condo,home_4_median_condo,home_4_count_condo,home_4_median_hoa_condo,hoa_4_bd_median_condo,home_4_count_hoa_condo,home_4_both_median_condo,home_4_count_condo+home_4_count_hoa_condo,home_5_median_condo,home_5_count_condo,home_5_median_hoa_condo,hoa_5_bd_median_condo,home_5_count_hoa_condo,home_5_both_median_condo,home_5_count_condo+home_5_count_hoa_condo,home_6_median_condo,home_6_count_condo,home_6_median_hoa_condo,hoa_6_bd_median_condo,home_6_count_hoa_condo,home_6_both_median_condo,home_6_count_condo+home_6_count_hoa_condo,home_1_median_house,home_1_count_house,home_1_median_hoa_house,hoa_1_bd_median_house,home_1_count_hoa_house,home_1_both_median_house,home_1_count_house+home_1_count_hoa_house,home_2_median_house,home_2_count_house,home_2_median_hoa_house,hoa_2_bd_median_house,home_2_count_hoa_house,home_2_both_median_house,home_2_count_house+home_2_count_hoa_house,home_3_median_house,home_3_count_house,home_3_median_hoa_house,hoa_3_bd_median_house,home_3_count_hoa_house,home_3_both_median_house,home_3_count_house+home_3_count_hoa_house,home_4_median_house,home_4_count_house,home_4_median_hoa_house,hoa_4_bd_median_house,home_4_count_hoa_house,home_4_both_median_house,home_4_count_house+home_4_count_hoa_house,home_5_median_house,home_5_count_house,home_5_median_hoa_house,hoa_5_bd_median_house,home_5_count_hoa_house,home_5_both_median_house,home_5_count_house+home_5_count_hoa_house,home_6_median_house,home_6_count_house,home_6_median_hoa_house,hoa_6_bd_median_house,home_6_count_hoa_house,home_6_both_median_house,home_6_count_house+home_6_count_hoa_house,home_1_median_th,home_1_count_th,home_1_median_hoa_th,hoa_1_bd_median_th,home_1_count_hoa_th,home_1_both_median_th,home_1_count_th+home_1_count_hoa_th,home_2_median_th,home_2_count_th,home_2_median_hoa_th,hoa_2_bd_median_th,home_2_count_hoa_th,home_2_both_median_th,home_2_count_th+home_2_count_hoa_th,home_3_median_th,home_3_count_th,home_3_median_hoa_th,hoa_3_bd_median_th,home_3_count_hoa_th,home_3_both_median_th,home_3_count_th+home_3_count_hoa_th,home_4_median_th,home_4_count_th,home_4_median_hoa_th,hoa_4_bd_median_th,home_4_count_hoa_th,home_4_both_median_th,home_4_count_th+home_4_count_hoa_th,home_5_median_th,home_5_count_th,home_5_median_hoa_th,hoa_5_bd_median_th,home_5_count_hoa_th,home_5_both_median_th,home_5_count_th+home_5_count_hoa_th,home_6_median_th,home_6_count_th,home_6_median_hoa_th,hoa_6_bd_median_th,home_6_count_hoa_th,home_6_both_median_th,home_6_count_th+home_6_count_hoa_th
'2017-01-24',0,0,40500,287,3,515,3,217475,26,72500,213,2,1201,28,299500,31,0,0,0,1692,31,398895,18,0,0,0,2254,18,410000,5,0,0,0,2317,5,317500,2,0,0,0,1794,2,0,0,47750,306,2,575,2,0,0,72500,213,2,622,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,250,1,391,1,215000,25,0,0,0,1215,25,280000,29,0,0,0,1582,29,398790,17,0,0,0,2254,17,365000,4,0,0,0,2063,4,317500,2,0,0,0,1794,2,0,0,0,0,0,0,0,219950,1,0,0,0,1243,1,324500,2,0,0,0,1834,2,444784,1,0,0,0,2514,1,425000,1,0,0,0,2402,1,0,0,0,0,0,0,0
'2017-01-31',0,0,40000,287,2,513,2,217475,24,65000,276,1,1215,25,280000,27,0,0,0,1582,27,398790,15,0,0,0,2254,15,412500,4,0,0,0,2331,4,317500,2,0,0,0,1794,2,0,0,55000,325,1,635,1,0,0,65000,276,1,643,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,250,1,391,1,215000,23,0,0,0,1215,23,269999,25,0,0,0,1526,25,394345,14,0,0,0,2229,14,410000,3,0,0,0,2317,3,317500,2,0,0,0,1794,2,0,0,0,0,0,0,0,219950,1,0,0,0,1243,1,324500,2,0,0,0,1834,2,444784,1,0,0,0,2514,1,425000,1,0,0,0,2402,1,0,0,0,0,0,0,0
'2017-02-11',0,0,40000,287,2,513,2,217475,20,65000,276,1,1215,21,299500,21,0,0,0,1692,21,371200,12,0,0,0,2098,12,415000,3,0,0,0,2345,3,317500,2,0,0,0,1794,2,0,0,55000,325,1,635,1,0,0,65000,276,1,643,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,250,1,391,1,215000,19,0,0,0,1215,19,280000,19,0,0,0,1582,19,352500,11,0,0,0,1992,11,320000,2,0,0,0,1808,2,317500,2,0,0,0,1794,2,0,0,0,0,0,0,0,219950,1,0,0,0,1243,1,324500,2,0,0,0,1834,2,444784,1,0,0,0,2514,1,425000,1,0,0,0,2402,1,0,0,0,0,0,0,0
'2017-02-11',0,0,40000,287,2,513,2,217475,20,65000,276,1,1215,21,299500,21,0,0,0,1692,21,371200,12,0,0,0,2098,12,415000,3,0,0,0,2345,3,317500,2,0,0,0,1794,2,0,0,55000,325,1,635,1,0,0,65000,276,1,643,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,250,1,391,1,215000,19,0,0,0,1215,19,280000,19,0,0,0,1582,19,352500,11,0,0,0,1992,11,320000,2,0,0,0,1808,2,317500,2,0,0,0,1794,2,0,0,0,0,0,0,0,219950,1,0,0,0,1243,1,324500,2,0,0,0,1834,2,444784,1,0,0,0,2514,1,425000,1,0,0,0,2402,1,0,0,0,0,0,0,0
'2017-02-18',0,0,40000,287,2,513,2,217475,20,65000,276,1,1215,21,299500,19,0,0,0,1692,19,371200,12,0,0,0,2098,12,415000,1,0,0,0,2345,1,317500,2,0,0,0,1794,2,0,0,55000,325,1,635,1,0,0,65000,276,1,643,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,250,1,391,1,215000,19,0,0,0,1215,19,289750,18,0,0,0,1637,18,352500,11,0,0,0,1992,11,415000,1,0,0,0,2345,1,317500,2,0,0,0,1794,2,0,0,0,0,0,0,0,219950,1,0,0,0,1243,1,315000,1,0,0,0,1780,1,444784,1,0,0,0,2514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-18',0,0,40000,287,2,513,2,217475,20,65000,276,1,1215,21,299500,19,0,0,0,1692,19,371200,12,0,0,0,2098,12,415000,1,0,0,0,2345,1,317500,2,0,0,0,1794,2,0,0,55000,325,1,635,1,0,0,65000,276,1,643,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,250,1,391,1,215000,19,0,0,0,1215,19,289750,18,0,0,0,1637,18,352500,11,0,0,0,1992,11,415000,1,0,0,0,2345,1,317500,2,0,0,0,1794,2,0,0,0,0,0,0,0,219950,1,0,0,0,1243,1,315000,1,0,0,0,1780,1,444784,1,0,0,0,2514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-25',0,0,40000,287,2,513,2,227500,18,65000,276,1,1215,19,289750,16,0,0,0,1637,16,389900,9,0,0,0,2203,9,415000,1,0,0,0,2345,1,475000,1,0,0,0,2685,1,0,0,55000,325,1,635,1,0,0,65000,276,1,643,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,250,1,391,1,227500,18,0,0,0,1285,18,280000,15,0,0,0,1582,15,371200,8,0,0,0,2098,8,415000,1,0,0,0,2345,1,475000,1,0,0,0,2685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315000,1,0,0,0,1780,1,444784,1,0,0,0,2514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-02-25',0,0,40000,287,2,513,2,227500,18,65000,276,1,1215,19,289750,16,0,0,0,1637,16,389900,9,0,0,0,2203,9,415000,1,0,0,0,2345,1,475000,1,0,0,0,2685,1,0,0,55000,325,1,635,1,0,0,65000,276,1,643,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,250,1,391,1,227500,18,0,0,0,1285,18,280000,15,0,0,0,1582,15,371200,8,0,0,0,2098,8,415000,1,0,0,0,2345,1,475000,1,0,0,0,2685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315000,1,0,0,0,1780,1,444784,1,0,0,0,2514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-03-04',0,0,25000,250,1,391,1,270000,12,0,0,0,1526,12,289750,14,0,0,0,1637,14,398790,5,0,0,0,2254,5,415000,1,0,0,0,2345,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,250,1,391,1,270000,12,0,0,0,1526,12,280000,13,0,0,0,1582,13,375645,4,0,0,0,2123,4,415000,1,0,0,0,2345,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315000,1,0,0,0,1780,1,444784,1,0,0,0,2514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-03-04',0,0,25000,250,1,391,1,270000,12,0,0,0,1526,12,289750,14,0,0,0,1637,14,398790,5,0,0,0,2254,5,415000,1,0,0,0,2345,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,250,1,391,1,270000,12,0,0,0,1526,12,280000,13,0,0,0,1582,13,375645,4,0,0,0,2123,4,415000,1,0,0,0,2345,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315000,1,0,0,0,1780,1,444784,1,0,0,0,2514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-03-11',0,0,25000,250,1,391,1,279500,8,0,0,0,1579,8,284999,8,0,0,0,1611,8,352500,3,0,0,0,1992,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,250,1,391,1,279500,8,0,0,0,1579,8,284999,8,0,0,0,1611,8,253250,2,0,0,0,1431,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444784,1,0,0,0,2514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2017-03-11',0,0,25000,250,1,391,1,279500,8,0,0,0,1579,8,284999,8,0,0,0,1611,8,352500,3,0,0,0,1992,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,250,1,391,1,279500,8,0,0,0,1579,8,284999,8,0,0,0,1611,8,253250,2,0,0,0,1431,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444784,1,0,0,0,2514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
