Craigslist URL,Neighborhood,City,State,ZipCode,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,HomeDateLastRun
washingtondc,,Washington,DC,20002,2016-01-01',,2016-01-01',
washingtondc,,Washington,DC,20003,2016-01-01',,2016-01-01',
washingtondc,,Washington,DC,20004,2016-01-01',,2016-01-01',
washingtondc,,Washington,DC,20006,2016-01-01',,2016-01-01',
washingtondc,,Washington,DC,20007,2016-01-01',,2016-01-01',
washingtondc,,Washington,DC,20008,2016-01-01',,2016-01-01',
washingtondc,,Washington,DC,20009,2016-01-01',,2016-01-01',
washingtondc,,Washington,DC,20010,2016-01-01',,2016-01-01',
washingtondc,,Washington,DC,20011,2016-01-01',,2016-01-01',
washingtondc,,Washington,DC,20012,2016-01-01',,2016-01-01',
washingtondc,,Washington,DC,20015,2016-01-01',,2016-01-01',
washingtondc,,Washington,DC,20016,2016-01-01',,2016-01-01',
washingtondc,,Washington,DC,20017,2016-01-01',,2016-01-01',
washingtondc,,Washington,DC,20018,2016-01-01',,2016-01-01',
washingtondc,,Washington,DC,20019,2016-01-01',,2016-01-01',
washingtondc,,Washington,DC,20020,2016-01-01',,2016-01-01',
washingtondc,,Washington,DC,20024,2016-01-01',,2016-01-01',
washingtondc,,Washington,DC,20032,2016-01-01',,2016-01-01',
washingtondc,,Washington,DC,20036,2016-01-01',,2016-01-01',
washingtondc,,Washington,DC,20037,2016-01-01',,2016-01-01',
washingtondc,,Dulles,VA,20101,2016-01-01',,2016-01-01',
washingtondc,,Dulles,VA,20102,2016-01-01',,2016-01-01',
washingtondc,,Dulles,VA,20103,2016-01-01',,2016-01-01',
washingtondc,,Dulles,VA,20104,2016-01-01',,2016-01-01',
washingtondc,,Aldie,VA,20105,2016-01-01',,2016-01-01',
washingtondc,,Arcola,VA,20107,2016-01-01',,2016-01-01',
washingtondc,,Manassas,VA,20108,2016-01-01',,2016-01-01',
washingtondc,,Manassas,VA,20109,2016-01-01',,2016-01-01',
washingtondc,,Manassas,VA,20110,2016-01-01',,2016-01-01',
washingtondc,,Manassas,VA,20111,2016-01-01',,2016-01-01',
washingtondc,,Manassas,VA,20112,2016-01-01',,2016-01-01',
washingtondc,,Manassas,VA,20113,2016-01-01',,2016-01-01',
washingtondc,,Centreville,VA,20120,2016-01-01',,2016-01-01',
washingtondc,,Centreville,VA,20121,2016-01-01',,2016-01-01',
washingtondc,,Centreville,VA,20122,2016-01-01',,2016-01-01',
washingtondc,,Clifton,VA,20124,2016-01-01',,2016-01-01',
washingtondc,,Bristow,VA,20136,2016-01-01',,2016-01-01',
washingtondc,,Catharpin,VA,20143,2016-01-01',,2016-01-01',
washingtondc,,Ashburn,VA,20146,2016-01-01',,2016-01-01',
washingtondc,,Ashburn,VA,20147,2016-01-01',,2016-01-01',
washingtondc,,Ashburn,VA,20148,2016-01-01',,2016-01-01',
washingtondc,,Ashburn,VA,20149,2016-01-01',,2016-01-01',
washingtondc,,Chantilly,VA,20151,2016-01-01',,2016-01-01',
washingtondc,,Chantilly,VA,20152,2016-01-01',,2016-01-01',
washingtondc,,Chantilly,VA,20153,2016-01-01',,2016-01-01',
washingtondc,,Gainesville,VA,20155,2016-01-01',,2016-01-01',
washingtondc,,Gainesville,VA,20156,2016-01-01',,2016-01-01',
washingtondc,,Sterling,VA,20163,2016-01-01',,2016-01-01',
washingtondc,,Sterling,VA,20164,2016-01-01',,2016-01-01',
washingtondc,,Sterling,VA,20165,2016-01-01',,2016-01-01',
washingtondc,,Sterling,VA,20166,2016-01-01',,2016-01-01',
washingtondc,,Sterling,VA,20167,2016-01-01',,2016-01-01',
washingtondc,,Haymarket,VA,20168,2016-01-01',,2016-01-01',
washingtondc,,Haymarket,VA,20169,2016-01-01',,2016-01-01',
washingtondc,,Herndon,VA,20170,2016-01-01',,2016-01-01',
washingtondc,,Herndon,VA,20171,2016-01-01',,2016-01-01',
washingtondc,,Herndon,VA,20172,2016-01-01',,2016-01-01',
washingtondc,,Leesburg,VA,20175,2016-01-01',,2016-01-01',
washingtondc,,Leesburg,VA,20176,2016-01-01',,2016-01-01',
washingtondc,,Leesburg,VA,20177,2016-01-01',,2016-01-01',
washingtondc,,Leesburg,VA,20178,2016-01-01',,2016-01-01',
washingtondc,,Nokesville,VA,20181,2016-01-01',,2016-01-01',
washingtondc,,Nokesville,VA,20182,2016-01-01',,2016-01-01',
washingtondc,,Reston,VA,20190,2016-01-01',,2016-01-01',
washingtondc,,Reston,VA,20191,2016-01-01',,2016-01-01',
washingtondc,,Reston,VA,20193,2016-01-01',,2016-01-01',
washingtondc,,Reston,VA,20194,2016-01-01',,2016-01-01',
washingtondc,,Reston,VA,20195,2016-01-01',,2016-01-01',
washingtondc,,Dulles,VA,20199,2016-01-01',,2016-01-01',
washingtondc,,Washington,DC,20319,2016-01-01',,2016-01-01',
washingtondc,,Washington,DC,20722,2016-01-01',,2016-01-01',
washingtondc,,Annandale,VA,22003,2016-01-01',,2016-01-01',
washingtondc,,Burke,VA,22009,2016-01-01',,2016-01-01',
washingtondc,,Burke,VA,22015,2016-01-01',,2016-01-01',
washingtondc,,Dumfries,VA,22026,2016-01-01',,2016-01-01',
washingtondc,,Dunn Loring,VA,22027,2016-01-01',,2016-01-01',
washingtondc,,Fairfax,VA,22030,2016-01-01',,2016-01-01',
washingtondc,,Fairfax,VA,22031,2016-01-01',,2016-01-01',
washingtondc,,Fairfax,VA,22032,2016-01-01',,2016-01-01',
washingtondc,,Fairfax,VA,22033,2016-01-01',,2016-01-01',
washingtondc,,Fairfax,VA,22034,2016-01-01',,2016-01-01',
washingtondc,,Fairfax,VA,22035,2016-01-01',,2016-01-01',
washingtondc,,Fairfax Station,VA,22039,2016-01-01',,2016-01-01',
washingtondc,,Falls Church,VA,22040,2016-01-01',,2016-01-01',
washingtondc,,Falls Church,VA,22041,2016-01-01',,2016-01-01',
washingtondc,,Falls Church,VA,22042,2016-01-01',,2016-01-01',
washingtondc,,Falls Church,VA,22043,2016-01-01',,2016-01-01',
washingtondc,,Falls Church,VA,22044,2016-01-01',,2016-01-01',
washingtondc,,Falls Church,VA,22046,2016-01-01',,2016-01-01',
washingtondc,,Falls Church,VA,22047,2016-01-01',,2016-01-01',
washingtondc,,Fort Belvoir,VA,22060,2016-01-01',,2016-01-01',
washingtondc,,Great Falls,VA,22066,2016-01-01',,2016-01-01',
washingtondc,,Lorton,VA,22079,2016-01-01',,2016-01-01',
washingtondc,,McLean,VA,22101,2016-01-01',,2016-01-01',
washingtondc,,McLean,VA,22102,2016-01-01',,2016-01-01',
washingtondc,,West Mclean,VA,22103,2016-01-01',,2016-01-01',
washingtondc,,McLean,VA,22106,2016-01-01',,2016-01-01',
washingtondc,,McLean,VA,22107,2016-01-01',,2016-01-01',
washingtondc,,McLean,VA,22108,2016-01-01',,2016-01-01',
washingtondc,,McLean,VA,22109,2016-01-01',,2016-01-01',
washingtondc,,Mount Vernon,VA,22121,2016-01-01',,2016-01-01',
washingtondc,,Newington,VA,22122,2016-01-01',,2016-01-01',
washingtondc,,Oakton,VA,22124,2016-01-01',,2016-01-01',
washingtondc,,Occoquan,VA,22125,2016-01-01',,2016-01-01',
washingtondc,,Quantico,VA,22134,2016-01-01',,2016-01-01',
washingtondc,,Quantico,VA,22135,2016-01-01',,2016-01-01',
washingtondc,,Springfield,VA,22150,2016-01-01',,2016-01-01',
washingtondc,,Springfield,VA,22151,2016-01-01',,2016-01-01',
washingtondc,,Springfield,VA,22152,2016-01-01',,2016-01-01',
washingtondc,,Springfield,VA,22153,2016-01-01',,2016-01-01',
washingtondc,,Triangle,VA,22172,2016-01-01',,2016-01-01',
washingtondc,,Vienna,VA,22180,2016-01-01',,2016-01-01',
washingtondc,,Vienna,VA,22181,2016-01-01',,2016-01-01',
washingtondc,,Vienna,VA,22182,2016-01-01',,2016-01-01',
washingtondc,,Vienna,VA,22183,2016-01-01',,2016-01-01',
washingtondc,,Woodbridge,VA,22191,2016-01-01',,2016-01-01',
washingtondc,,Woodbridge,VA,22192,2016-01-01',,2016-01-01',
washingtondc,,Woodbridge,VA,22193,2016-01-01',,2016-01-01',
washingtondc,,Arlington,VA,22201,2016-01-01',,2016-01-01',
washingtondc,,Arlington,VA,22202,2016-01-01',,2016-01-01',
washingtondc,,Arlington,VA,22203,2016-01-01',,2016-01-01',
washingtondc,,Arlington,VA,22204,2016-01-01',,2016-01-01',
washingtondc,,Arlington,VA,22205,2016-01-01',,2016-01-01',
washingtondc,,Arlington,VA,22206,2016-01-01',,2016-01-01',
washingtondc,,Arlington,VA,22207,2016-01-01',,2016-01-01',
washingtondc,,Arlington,VA,22209,2016-01-01',,2016-01-01',
washingtondc,,Arlington,VA,22210,2016-01-01',,2016-01-01',
washingtondc,,Arlington,VA,22212,2016-01-01',,2016-01-01',
washingtondc,,Arlington,VA,22213,2016-01-01',,2016-01-01',
washingtondc,,Arlington,VA,22214,2016-01-01',,2016-01-01',
washingtondc,,Arlington,VA,22215,2016-01-01',,2016-01-01',
washingtondc,,Arlington,VA,22216,2016-01-01',,2016-01-01',
washingtondc,,Arlington,VA,22217,2016-01-01',,2016-01-01',
washingtondc,,Arlington,VA,22218,2016-01-01',,2016-01-01',
washingtondc,,Arlington,VA,22219,2016-01-01',,2016-01-01',
washingtondc,,Alexandria,VA,22301,2016-01-01',,2016-01-01',
washingtondc,,Alexandria,VA,22302,2016-01-01',,2016-01-01',
washingtondc,,Alexandria,VA,22303,2016-01-01',,2016-01-01',
washingtondc,,Alexandria,VA,22304,2016-01-01',,2016-01-01',
washingtondc,,Alexandria,VA,22305,2016-01-01',,2016-01-01',
washingtondc,,Alexandria,VA,22306,2016-01-01',,2016-01-01',
washingtondc,,Alexandria,VA,22307,2016-01-01',,2016-01-01',
washingtondc,,Alexandria,VA,22308,2016-01-01',,2016-01-01',
washingtondc,,Alexandria,VA,22309,2016-01-01',,2016-01-01',
washingtondc,,Alexandria,VA,22310,2016-01-01',,2016-01-01',
washingtondc,,Alexandria,VA,22311,2016-01-01',,2016-01-01',
washingtondc,,Alexandria,VA,22312,2016-01-01',,2016-01-01',
washingtondc,,Alexandria,VA,22313,2016-01-01',,2016-01-01',
washingtondc,,Alexandria,VA,22314,2016-01-01',,2016-01-01',
washingtondc,,Alexandria,VA,22315,2016-01-01',,2016-01-01',
richmond,,Glen Allen,VA,23060,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23173,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23218,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23219,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23220,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23221,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23222,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23223,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23224,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23225,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23226,2016-01-01',,2016-01-01',
richmond,,Henrico,VA,23227,2016-01-01',,2016-01-01',
richmond,,Henrico,VA,23228,2016-01-01',,2016-01-01',
richmond,,Henrico,VA,23229,2016-01-01',,2016-01-01',
richmond,,Henrico,VA,23230,2016-01-01',,2016-01-01',
richmond,,Henrico,VA,23231,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23232,2016-01-01',,2016-01-01',
richmond,,Henrico,VA,23233,2016-01-01',,2016-01-01',
richmond,,Chesterfield,VA,23234,2016-01-01',,2016-01-01',
richmond,,Chesterfield,VA,23235,2016-01-01',,2016-01-01',
richmond,,Chesterfield,VA,23236,2016-01-01',,2016-01-01',
richmond,,Chesterfield,VA,23237,2016-01-01',,2016-01-01',
richmond,,Henrico,VA,23238,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23240,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23241,2016-01-01',,2016-01-01',
richmond,,Henrico,VA,23242,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23249,2016-01-01',,2016-01-01',
richmond,,Henrico,VA,23250,2016-01-01',,2016-01-01',
richmond,,Henrico,VA,23255,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23260,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23261,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23269,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23273,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23274,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23276,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23278,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23279,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23282,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23284,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23285,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23286,2016-01-01',,2016-01-01',
richmond,,Henrico,VA,23288,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23289,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23290,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23291,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23292,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23293,2016-01-01',,2016-01-01',
richmond,,Henrico,VA,23294,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23295,2016-01-01',,2016-01-01',
richmond,,Chesterfield,VA,23297,2016-01-01',,2016-01-01',
richmond,,Richmond,VA,23298,2016-01-01',,2016-01-01',
