Craigslist URL,City,State,Zip Code,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,HomeDateLastRun
washingtondc,Washington,DC,20001,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20002,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20003,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20004,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20006,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20007,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20008,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20009,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20010,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20011,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20012,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20015,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20016,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20017,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20018,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20019,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20020,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20024,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20032,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20036,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20037,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Dulles,VA,20101,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Dulles,VA,20102,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Dulles,VA,20103,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Dulles,VA,20104,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Aldie,VA,20105,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Arcola,VA,20107,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Manassas,VA,20108,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Manassas,VA,20109,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Manassas,VA,20110,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Manassas,VA,20111,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Manassas,VA,20112,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Manassas,VA,20113,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Centreville,VA,20120,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Centreville,VA,20121,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Centreville,VA,20122,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Clifton,VA,20124,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Bristow,VA,20136,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Catharpin,VA,20143,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Ashburn,VA,20146,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Ashburn,VA,20147,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Ashburn,VA,20148,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Ashburn,VA,20149,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Chantilly,VA,20151,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Chantilly,VA,20152,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Chantilly,VA,20153,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Gainesville,VA,20155,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Gainesville,VA,20156,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Sterling,VA,20163,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Sterling,VA,20164,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Sterling,VA,20165,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Sterling,VA,20166,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Sterling,VA,20167,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Haymarket,VA,20168,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Haymarket,VA,20169,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Herndon,VA,20170,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Herndon,VA,20171,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Herndon,VA,20172,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Leesburg,VA,20175,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Leesburg,VA,20176,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Leesburg,VA,20177,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Leesburg,VA,20178,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Nokesville,VA,20181,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Nokesville,VA,20182,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Reston,VA,20190,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Reston,VA,20191,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Reston,VA,20193,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Reston,VA,20194,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Reston,VA,20195,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Dulles,VA,20199,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20319,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Washington,DC,20722,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Annandale,VA,22003,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Burke,VA,22009,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Burke,VA,22015,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Dumfries,VA,22026,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Dunn Loring,VA,22027,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Fairfax,VA,22030,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Fairfax,VA,22031,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Fairfax,VA,22032,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Fairfax,VA,22033,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Fairfax,VA,22034,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Fairfax,VA,22035,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Fairfax Station,VA,22039,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Falls Church,VA,22040,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Falls Church,VA,22041,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Falls Church,VA,22042,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Falls Church,VA,22043,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Falls Church,VA,22044,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Falls Church,VA,22046,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Falls Church,VA,22047,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Fort Belvoir,VA,22060,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Great Falls,VA,22066,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Lorton,VA,22079,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,McLean,VA,22101,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,McLean,VA,22102,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,West Mclean,VA,22103,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,McLean,VA,22106,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,McLean,VA,22107,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,McLean,VA,22108,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,McLean,VA,22109,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Mount Vernon,VA,22121,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Newington,VA,22122,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Oakton,VA,22124,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Occoquan,VA,22125,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Quantico,VA,22134,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Quantico,VA,22135,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Springfield,VA,22150,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Springfield,VA,22151,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Springfield,VA,22152,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Springfield,VA,22153,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Triangle,VA,22172,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Vienna,VA,22180,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Vienna,VA,22181,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Vienna,VA,22182,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Vienna,VA,22183,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Woodbridge,VA,22191,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Woodbridge,VA,22192,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Woodbridge,VA,22193,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Arlington,VA,22201,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Arlington,VA,22202,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Arlington,VA,22203,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Arlington,VA,22204,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Arlington,VA,22205,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Arlington,VA,22206,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Arlington,VA,22207,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Arlington,VA,22209,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Arlington,VA,22210,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Arlington,VA,22212,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Arlington,VA,22213,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Arlington,VA,22214,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Arlington,VA,22215,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Arlington,VA,22216,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Arlington,VA,22217,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Arlington,VA,22218,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Arlington,VA,22219,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Alexandria,VA,22301,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Alexandria,VA,22302,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Alexandria,VA,22303,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Alexandria,VA,22304,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Alexandria,VA,22305,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Alexandria,VA,22306,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Alexandria,VA,22307,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Alexandria,VA,22308,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Alexandria,VA,22309,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Alexandria,VA,22310,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Alexandria,VA,22311,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Alexandria,VA,22312,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Alexandria,VA,22313,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Alexandria,VA,22314,Successful,2016-01-01',Successful,2016-01-01'
washingtondc,Alexandria,VA,22315,Successful,2016-01-01',Successful,2016-01-01'
richmond,Glen Allen,VA,23060,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23173,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23218,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23219,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23220,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23221,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23222,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23223,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23224,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23225,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23226,Successful,2016-01-01',Successful,2016-01-01'
richmond,Henrico,VA,23227,Successful,2016-01-01',Successful,2016-01-01'
richmond,Henrico,VA,23228,Successful,2016-01-01',Successful,2016-01-01'
richmond,Henrico,VA,23229,Successful,2016-01-01',Successful,2016-01-01'
richmond,Henrico,VA,23230,Successful,2016-01-01',Successful,2016-01-01'
richmond,Henrico,VA,23231,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23232,Successful,2016-01-01',Successful,2016-01-01'
richmond,Henrico,VA,23233,Successful,2016-01-01',Successful,2016-01-01'
richmond,Chesterfield,VA,23234,Successful,2016-01-01',Successful,2016-01-01'
richmond,Chesterfield,VA,23235,Successful,2016-01-01',Successful,2016-01-01'
richmond,Chesterfield,VA,23236,Successful,2016-01-01',Successful,2016-01-01'
richmond,Chesterfield,VA,23237,Successful,2016-01-01',Successful,2016-01-01'
richmond,Henrico,VA,23238,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23240,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23241,Successful,2016-01-01',Successful,2016-01-01'
richmond,Henrico,VA,23242,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23249,Successful,2016-01-01',Successful,2016-01-01'
richmond,Henrico,VA,23250,Successful,2016-01-01',Successful,2016-01-01'
richmond,Henrico,VA,23255,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23260,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23261,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23269,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23273,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23274,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23276,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23278,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23279,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23282,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23284,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23285,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23286,Successful,2016-01-01',Successful,2016-01-01'
richmond,Henrico,VA,23288,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23289,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23290,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23291,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23292,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23293,Successful,2016-01-01',Successful,2016-01-01'
richmond,Henrico,VA,23294,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23295,Successful,2016-01-01',Successful,2016-01-01'
richmond,Chesterfield,VA,23297,Successful,2016-01-01',Successful,2016-01-01'
richmond,Richmond,VA,23298,Successful,2016-01-01',Successful,2016-01-01'
,,,,,,,
